fuente_pdf,pagina_aprox,sector,fondo_documental,unidad_productora,fraccion_documental,codigo_serie,serie_documental,tipo_documento,valor_serie,retencion_ag,retencion_ap,retencion_oaa,retencion_total,valoracion_decision,valoracion_destino,valoracion_momento,valoracion_justifica,hash_fila
anexo2_layout.txt,101,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),CCSI,CCSI/03,REGISTRO DE COMPRAS,REGISTRO DE COMPRAS,TEMPORAL,2,0,18,20,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,04f96fbe26be3f17088c9f48a2895a164ebe1c96c5d726a6dd761c59b87f9e64
anexo2_layout.txt,101,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),CCSI,CCSI/04,REGISTRO DE VENTAS,REGISTRO DE VENTAS,TEMPORAL,2,0,18,20,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,52e66b120416b105a4c1693b302f39ae82ef6b224fc297d4cce9d7bb9efa8ef8
anexo2_layout.txt,101,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),CCSI,CCSI/05,REGISTRO DE RETENCIONES DE CUARTA CATEGORIA,REGISTRO DE RETENCIONES DE CUARTA CATEGORIA,TEMPORAL,2,0,18,20,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,d98fab8a7e417d6f265225b5196e21c63b6cec7aec23034eddb3933d01cf1e0f
anexo2_layout.txt,101,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),CCSI,CCSI/06,REGISTRO DE RETENCIONES DE IGV,REGISTRO DE RETENCIONES DE IGV,TEMPORAL,2,0,18,20,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,f825ca0977ebe4ce7382d50a839407caf622f513abe2043124835cd88dcae6f8
anexo2_layout.txt,101,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),CCSI,CCSI/07,EXPEDIENTES DE CUENTAS POR COBRAR,EXPEDIENTES DE CUENTAS POR COBRAR,TEMPORAL,2,0,18,20,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,95c533558c562fe129ebd08e23de8a6093e40a55710b63a7db476af3d2c8f0dc
anexo2_layout.txt,101,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),CCSI,CCSI/08,EXPEDIENTES DE VIAJES AL EXTERIOR,EXPEDIENTES DE VIAJES AL EXTERIOR,TEMPORAL,2,0,13,15,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,4eeab0c13ed15471fce2c9a24f533c1be9dcc0bcd40c89636ecfbd994e3343cb
anexo2_layout.txt,101,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),CCSI,CCSI/10,EXPEDIENTES DE SUSTENTOS DE IMPUESTOS,EXPEDIENTES DE SUSTENTOS DE IMPUESTOS,TEMPORAL,2,0,13,15,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,ad0309d28d5c6e068f081948c462b79e9ebeea59e626d8ae0856517f73d85524
anexo2_layout.txt,101,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),CCSI,CCSI/11,CONCILIACIONES BANCARIAS,CONCILIACIONES BANCARIAS,TEMPORAL,2,0,13,15,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,a8cbfb6d72d302a3e485021a63ec97047a1c2164e340f8331b6bc13579397592
anexo2_layout.txt,101,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),CCSI,CCSI/12,CORRESPONDENCIA,CORRESPONDENCIA,TEMPORAL,2,0,8,10,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,14803529f08e28d785b541844ca9df90d0268281500d9114ba697429176b5012
anexo2_layout.txt,102,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),COCO,COCO/01,CORRESPONDENCIA,CORRESPONDENCIA,TEMPORAL,2,0,8,10,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,9d67f990c1770c6e3e2a601c754232e30a325a199f2ec23fb162a3c08726362b
